entered_by,study,pub_reference,pub_year,decade,exp_type,reps,pooled_Y.N,study_duration,sample_size,wgt,loc_citystate,loc_state,lat,long,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,tillage_sys,cc_plant.DOY,cc_plant.kgha,cc_pMETH,cc_term.DOY,cc_term.METH,cc_term.METH2,add_herb,cc_bio_Mgha,crop,crop_plant.DOY,term.plant.diff,weed type,weed.sing.com,weed.spp,LRRbio,LRRyield
VS,7,"Koger et al., 2002",2002,2011-2020,Split-Split Plot,4,Y,3,144,72,"Stoneville, MS",MS,33.424,-90.9151,NA,1.1,silt loam,6.3,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,summer annual,community,NA,0.295946582,-0.184093036
VS,8,"Koger et al., 2005",2005,2011-2020,Split-Split Plot,4,Y,2,24,12,"Stoneville, MS",MS,33.424,-90.9151,NA,NA,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.3,corn,NA,0,summer annual,community,NA,-0.09237332,0.063564743
VS,8,"Koger et al., 2005",2005,2011-2020,Split-Split Plot,4,Y,2,24,12,"Stoneville, MS",MS,33.424,-90.9151,NA,NA,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.3,corn,NA,0,summer annual,community,NA,-0.071095922,-0.067286082
VS,10,"Malik et al., 2008",2008,2001-2010,Split plot,4,Y,2,8,4,"Blackville, SC",SC,33.356101,-81.270396,NA,0.6,sandy loam,6,Cereal rye,grass,strip till,NA,90,drilled,NA,mow,M,N,2.3,corn,NA,NA,summer annual,community,NA,-1.412611669,0.251314428
VS,10,"Malik et al., 2008",2008,2001-2010,Split plot,4,Y,2,8,4,"Blackville, SC",SC,33.356101,-81.270396,NA,0.6,sandy loam,6,Wild radish,brassica,strip till,NA,34,broadcast,NA,mow,M,N,2.6,corn,NA,NA,summer annual,community,NA,-1.10512697,1.098612289
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Cereal rye,grass,NA,319,67,drilled,90,herbicide,H,Y,1.8,corn,99,9,summer annual,community,NA,-0.344840486,0.066928887
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Cereal rye,grass,NA,322,67,drilled,102,herbicide,H,Y,1.8,corn,112,10,summer annual,community,NA,-0.629777567,-0.078252197
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Winter wheat,grass,NA,319,112,drilled,90,herbicide,H,Y,1.1,corn,99,9,summer annual,community,NA,-0.405465108,0.040409538
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Winter wheat,grass,NA,322,112,drilled,102,herbicide,H,Y,1.1,corn,112,10,summer annual,community,NA,-0.129534052,-0.038360868
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.034094211,0.015861166
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.245743383,0.113476026
