entered_by,study,pub_reference,pub_year,decade,exp_type,reps,pooled_Y.N,study_duration,sample_size,wgt,loc_citystate,loc_state,lat,long,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,tillage_sys,cc_plant.DOY,cc_plant.kgha,cc_pMETH,cc_term.DOY,cc_term.METH,cc_term.METH2,add_herb,cc_bio_Mgha,crop,crop_plant.DOY,term.plant.diff,weed type,weed.sing.com,weed.spp,LRRden,LRRyield
NB,1,Aulakh et al. 2012,2012,2001-2010,Split-Split Plot,3,Y,3,12,6,"Shorter, Al",AL,NA,NA,NA,NA,NA,NA,Crimson clover,legume,tillage,NA,28,NA,NA,herbicide + roll,D,N,3.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.993251773,1.617912539
NB,1,Aulakh et al. 2012,2012,2001-2010,Split-Split Plot,3,Y,3,12,6,"Shorter, Al",AL,NA,NA,NA,NA,NA,NA,Cereal rye,grass,tillage,NA,101,NA,NA,herbicide + roll,D,Y,4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0,0.024919322
NB,1,Aulakh et al. 2012,2012,2001-2010,Split-Split Plot,3,Y,3,12,6,"Shorter, Al",AL,NA,NA,NA,NA,NA,NA,Crimson clover,legume,tillage,NA,28,NA,NA,herbicide + roll,D,Y,3.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.386294361,0.280409313
NB,1,Aulakh et al. 2012,2012,2001-2010,Split-Split Plot,3,Y,3,12,6,"Shorter, Al",AL,NA,NA,NA,NA,NA,NA,Cereal rye,grass,tillage,NA,101,NA,NA,herbicide + roll,D,Y,4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0,0.090971778
NB,1,Aulakh et al. 2012,2012,2001-2010,Split-Split Plot,3,Y,3,12,6,"Shorter, Al",AL,NA,NA,NA,NA,NA,NA,Crimson clover,legume,tillage,NA,28,NA,NA,herbicide + roll,D,N,3.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.897941593,1.695029843
NB,1,Aulakh et al. 2012,2012,2001-2010,Split-Split Plot,3,Y,3,12,6,"Shorter, Al",AL,NA,NA,NA,NA,NA,NA,Cereal rye,grass,tillage,NA,101,NA,NA,herbicide + roll,D,Y,4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0,0.026213821000000002
NB,1,Aulakh et al. 2012,2012,2001-2010,Split-Split Plot,3,Y,3,12,6,"Shorter, Al",AL,NA,NA,NA,NA,NA,NA,Crimson clover,legume,tillage,NA,28,NA,NA,herbicide + roll,D,Y,3.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.287682072,0.102872952
DW,2,"Aulakh et al., 2013",2013,2001-2010,Split plot,3,Y,3,96,48,"Shorter, AL",AL,32.395032,-85.918986,NA,2,sandy loam,6.3,Cereal rye,grass,NA,NA,101,NA,NA,herbicide + roll,D,Y,3.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.773189888,-0.301761594
DW,2,"Aulakh et al., 2013",2013,2001-2010,Split plot,3,Y,3,96,48,"Shorter, AL",AL,32.395032,-85.918986,NA,2,sandy loam,6.3,Crimson clover,legume,NA,NA,28,NA,NA,herbicide + roll,D,Y,4.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.773189888,-0.270899482
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Crimson clover,legume,no-till,NA,35,drilled,NA,herbicide,H,Y,0,cotton,NA,NA,summer annual,community,NA,0.619039208,-0.116893751
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Hairy vetch,legume,no-till,NA,45,drilled,NA,herbicide,H,Y,1.5,cotton,NA,NA,summer annual,community,NA,-1.252762968,-0.330086972
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Cereal rye,grass,no-till,NA,135,drilled,NA,herbicide,H,Y,4.5,cotton,NA,NA,summer annual,community,NA,-0.693147181,-0.014337163
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Crimson clover,legume,no-till,NA,35,drilled,NA,herbicide,H,Y,0,cotton,NA,NA,summer annual,community,NA,0,0.01011813
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Hairy vetch,legume,no-till,NA,45,drilled,NA,herbicide,H,Y,1.5,cotton,NA,NA,summer annual,community,NA,1.098612289,-0.153585868
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Cereal rye,grass,no-till,NA,135,drilled,NA,herbicide,H,Y,4.5,cotton,NA,NA,summer annual,community,NA,0,0.147835381
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Crimson clover,legume,no-till,NA,35,drilled,NA,herbicide,H,Y,2.8,cotton,NA,NA,summer annual,community,NA,-0.702536921,-0.029852963
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Hairy vetch,legume,no-till,NA,45,drilled,NA,herbicide,H,Y,2.3,cotton,NA,NA,summer annual,community,NA,-0.850730537,-3.526360525
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Cereal rye,grass,no-till,NA,135,drilled,NA,herbicide,H,Y,1.1,cotton,NA,NA,summer annual,community,NA,-0.781008536,0.424883194
